place,Jurisdiction,Age,Females,Males,year
26600,Firestone,20-24,158,182,2010
27700,Fort Lupton,20-24,185,448,2010
28105,Foxfield,20-24,19,36,2010
28360,Frederick,20-24,167,189,2010
29735,Georgetown,20-24,6,46,2010
30340,Glendale,20-24,306,148,2010
30835,Golden,20-24,785,1599,2010
33035,Greenwood Village,20-24,113,272,2010
37820,Hudson,20-24,21,40,2010
38370,Idaho Springs,20-24,68,54,2010
39195,Jamestown,20-24,0,0,2010
40185,Keenesburg,20-24,22,5,2010
40790,Kiowa,20-24,11,4,2010
41835,Lafayette,20-24,442,904,2010
42495,Lakeside,20-24,9,0,2010
43000,Lakewood,20-24,4667,5453,2010
43550,Larkspur,20-24,10,11,2010
45255,Littleton,20-24,1255,1295,2010
45955,Lone Tree,20-24,313,189,2010
45970,Longmont,20-24,2867,2509,2010
46355,Louisville,20-24,449,529,2010
47070,Lyons,20-24,29,43,2010
49600,Mead,20-24,14,50,2010
52075,Morrison,20-24,4,8,2010
52350,Mountain View,20-24,15,8,2010
53175,Nederland,20-24,29,21,2010
54330,Northglenn,20-24,1314,1543,2010
57630,Parker,20-24,1154,936,2010
60160,Platteville,20-24,63,76,2010
69645,Sheridan,20-24,139,219,2010
70360,Silver Plume,20-24,0,0,2010
75640,Superior,20-24,628,722,2010
77290,Thornton,20-24,3559,3564,2010
82735,Ward,20-24,0,0,2010
83835,Westminster,20-24,3697,3907,2010
84440,Wheat Ridge,20-24,1056,1039,2010
8124,Weld County (DRCOG),20-24,1234,1418,2010
8000,Region,20-24,90820,95958,2010
3455,Arvada,25-29,2991,2930,2010
4000,Aurora,25-29,12657,12772,2010
6090,Bennett,25-29,101,84,2010
7025,Black Hawk,25-29,7,0,2010
7850,Boulder City,25-29,4085,4773,2010
8001,Adams County,25-29,17487,18042,2010
8005,Arapahoe County,25-29,20718,20321,2010
8013,Boulder County,25-29,9245,10111,2010
8014,Broomfield City/County,25-29,1547,1525,2010
8019,Clear Creek County,25-29,203,215,2010
8031,Denver City/County,25-29,30640,30903,2010
8035,Douglas County,25-29,7648,6726,2010
8047,Gilpin County,25-29,161,125,2010
8059,Jefferson County,25-29,15887,16568,2010
8070,Bow Mar,25-29,3,0,2010
8123,Weld County,25-29,8605,8632,2010
